name,displayName,code,isoCode,flagUrl
United Mexican States,Mexico,MX,MEX,https://flagcdn.com/mx.svg
Brazil,Brazil,BR,BRA,https://flagcdn.com/br.svg
Spain,Spain,SP,ESP,https://flagcdn.com/es.svg
France,France,FR,FRA,https://flagcdn.com/fr.svg
Portugal,Portugal,PT,PRT,https://flagcdn.com/pt.svg
United States of America,United States,US,USA,https://flagcdn.com/us.svg
Argentine Republic,Argentina,AR,ARG,https://flagcdn.com/ar.svg
Republic of El Salvador,El Salvador,SV,SLV,https://flagcdn.com/sv.svg
Commonwealth of Australia,Australia,AU,AUS,https://flagcdn.com/au.svg
Federal Republic of Nigeria,Nigeria,NG,NGA,https://flagcdn.com/ng.svg
Swiss Confederation,Switzerland,CH,CHE,https://flagcdn.com/ch.svg
