leagueDisplayName,memberDisplayName,membershipStatus,startSeasonDisplayName,endSeasonDisplayName
Liga MX Femenil,América,Active,2017-18,
Liga MX,América,Active,1943-44,
Liga MX Femenil,Atlas,Active,,
Liga MX,Atlas,Active,,
Liga MX Femenil,San Luis,Active,,
Liga MX,San Luis,Active,,
Liga MX Femenil,Cruz Azul,Active,,
Liga MX,Cruz Azul,Active,,
Liga MX Femenil,Guadalajara,Active,,
Liga MX,Guadalajara,Active,,
Liga MX Femenil,Juárez,Active,,
Liga MX,Juárez,Active,,
Liga MX Femenil,León,Active,,
Liga MX,León,Active,,
Liga MX Femenil,Mazatlán,Active,,
Liga MX,Mazatlán,Active,,
Liga MX Femenil,Monterrey,Active,,
Liga MX,Monterrey,Active,,
Liga MX Femenil,Necaxa,Active,,
Liga MX,Necaxa,Active,,
Liga MX Femenil,Pachuca,Active,,
Liga MX,Pachuca,Active,,
Liga MX Femenil,Puebla,Active,,
Liga MX,Puebla,Active,,
Liga MX Femenil,Querétaro,Active,,
Liga MX,Querétaro,Active,,
Liga MX Femenil,Santos,Active,,
Liga MX,Santos,Active,,
Liga MX Femenil,Tijuana,Active,,
Liga MX,Tijuana,Active,,
Liga MX Femenil,Toluca,Active,,
Liga MX,Toluca,Active,,
Liga MX Femenil,Tigres,Active,,
Liga MX,Tigres,Active,,
Liga MX Femenil,UNAM,Active,,
Liga MX,UNAM,Active,,
