name,displayName,type,abbreviation,countryDisplayName,founded,parentOrganizationDisplayName,logo,website,headquarters,description
International Federation of Association Football,FIFA,Governing Body,FIFA,,1904-05-21,,,https://www.fifa.com,"Zurich, Switzerland",International Federation of Association Football
"Confederation of North, Central America and Caribbean Association Football",CONCACAF,Confederation,CONCACAF,,1961-09-18,FIFA,,https://concacaf.com/,"Florida, United States","Confederation of North, Central America and Caribbean Association Football"
Mexican Football Federation,Federación Mexicana,Federation,FMF,Mexico,1927-08-23,CONCACAF,,www.fmf.mx,"Toluca, Mexico",
Liga MX Femenil,Liga MX Femenil,League,MXF,Mexico,2016-12-06,Federación Mexicana,,http://www.ligafemenil.mx/,"Toluca, Mexico",
Club de Fútbol América S.A. de C.V.,Club América,Club,AME,Mexico,1916-10-12,Federación Mexicana,,https://www.clubamerica.com.mx/,Ciudad de México,
Atlas F.C.,Atlas,Club,ATL,Mexico,1916-08-15,Federación Mexicana,,https://www.atlasfc.com.mx/,"Guadalajara, Jalisco",
Atlético de San Luis,San Luis,Club,ASL,Mexico,2013-05-28,Federación Mexicana,,http://atleticodesanluis.mx/,"San Luis Potosí, San Luis Potosí",
Club de Futbol Cruz Azul S.A. de C.V.,Cruz Azul,Club,CAZ,Mexico,1927-05-22,Federación Mexicana,,http://cfcruzazul.com/,Ciudad de México,
Club Deportivo Guadalajara S.A. de C.V.,Guadalajara,Club,GUA,Mexico,1906-05-08,Federación Mexicana,,http://www.chivasdecorazon.com.mx/,"Zapopan, Jalisco",
Fútbol Club Juárez,Juárez,Club,JUA,Mexico,2015-05-29,Federación Mexicana,,http://www.fcjuarez.com/,"Ciudad Juárez, Chihuahua",
Club León,León,Club,LEO,Mexico,1944-08-20,Federación Mexicana,,https://www.clubleon.mx/,"León, Guanajuato",
Mazatlán Futbol Club,Mazatlán,Club,MAZ,Mexico,2020-06-02,Federación Mexicana,,http://www.mazatlanfc.com/,"Mazatlán, Sinaloa",
"Club de Fútbol Monterrey Rayados, A.C.",Monterrey,Club,MON,Mexico,1945-06-28,Federación Mexicana,,https://www.rayados.com/en,"Monterrey, Nuevo León",
Impulsora del Deportivo Necaxa S.A. de C.V.,Necaxa,Club,NEC,Mexico,1923-08-21,Federación Mexicana,,http://clubnecaxa.mx/,"Aguascalientes, Aguascalientes",
Club de Fútbol Pachuca,Pachuca,Club,PAC,Mexico,1892-11-01,Federación Mexicana,,https://tuzos.com.mx/,"Pachuca, Hidalgo",
Club Puebla,Puebla,Club,PUE,Mexico,1944-05-07,Federación Mexicana,,http://www.clubpuebla.com/,"Puebla, Puebla",
Querétaro Fútbol Club,Querétaro,Club,QUE,Mexico,1950-07-08,Federación Mexicana,,https://clubqueretaro.com/,"Querétaro, Querétaro",
"Club Santos Laguna, S.A. de C.V.",Santos,Club,SAN,Mexico,1983-09-04,Federación Mexicana,,http://www.clubsantos.mx/,"Torreón, Coahuila",
Club Tijuana Xoloitzcuintles de Caliente,Tijuana,Club,TIJ,Mexico,2007-01-14,Federación Mexicana,,http://www.xolos.com.mx/,"Tijuana, Baja California",
Deportivo Toluca Fútbol Club Femenil S.A. de C.V.,Toluca,Club,TOL,Mexico,1917-02-17,Federación Mexicana,,https://tolucafc.com/,"Toluca, State of Mexico",
Club Tigres de la Universidad Autónoma de Nuevo León,Tigres,Club,UNL,Mexico,1960-03-07,Federación Mexicana,,http://www.tigres.com.mx/,"San Nicolás de los Garza, Nuevo León",
"Club Universidad Nacional, A. C.",UNAM,Club,UNM,Mexico,1954-08-02,Federación Mexicana,,https://pumas.mx/,"Coyoacán, Mexico City",
