name,displayName
1943-1944,1943-44
1944-1945,1944-45
1945-1946,1945-46
1946-1947,1946-47
1947-1948,1947-48
1948-1949,1948-49
1949-1950,1949-50
1950-1951,1950-51
1951-1952,1951-52
1952-1953,1952-53
1953-1954,1953-54
1954-1955,1954-55
1955-1956,1955-56
1956-1957,1956-57
1957-1958,1957-58
1958-1959,1958-59
1959-1960,1959-60
1960-1961,1960-61
1961-1962,1961-62
1963-1963,1963-63
1964-1964,1964-64
1964-1965,1964-65
1965-1966,1965-66
1966-1967,1966-67
1967-1968,1967-68
1968-1969,1968-69
1969-1970,1969-70
1970-1971,1970-71
1971-1972,1971-72
1972-1973,1972-73
1973-1974,1973-74
1974-1975,1974-75
1975-1976,1975-76
1976-1977,1976-77
1977-1978,1977-78
1978-1979,1978-79
1979-1980,1979-80
1980-1981,1980-81
1981-1982,1981-82
1982-1983,1982-83
1983-1984,1983-84
1984-1985,1984-85
1985-1986,1985-86
1986-1987,1986-87
1987-1988,1987-88
1988-1989,1988-89
1989-1990,1989-90
1990-1991,1990-91
1991-1992,1991-92
1992-1993,1992-93
1993-1994,1993-94
1994-1995,1994-95
1995-1996,1995-96
1996-1997,1996-97
1997-1998,1997-98
1998-1999,1998-99
1999-2000,1999-00
2000-2001,2000-01
2001-2002,2001-02
2002-2003,2002-03
2003-2004,2003-04
2004-2005,2004-05
2005-2006,2005-06
2006-2007,2006-07
2007-2008,2007-08
2008-2009,2008-09
2009-2010,2009-10
2010-2011,2010-11
2011-2012,2011-12
2012-2013,2012-13
2013-2014,2013-14
2014-2015,2014-15
2015-2016,2015-16
2016-2017,2016-17
2017-2018,2017-18
2018-2019,2018-19
2019-2020,2019-20
2020-2021,2020-21
2021-2022,2021-22
2022-2023,2022-23
2023-2024,2023-24
2024-2025,2024-25
2025-2026,2025-26
2026-2027,2026-27
2027-2028,2027-28
2028-2029,2028-29
2029-2030,2029-30
