teamDisplayName,venueDisplayName,designation,startDate,endDate
América,Estadio Ciudad de los Deportes,Temporary,2025-01-01,
Atlas,Estadio Jalisco,Primary,1960-01-31,
Atlético San Luis,Estadio Libertad Financiera,Primary,2002-08-25,
Cruz Azul,Estadio Olímpico Universitario,Temporary,2024-07-01,2025-12-31
Cruz Azul,Estadio Cuauhtémoc,Temporary,2026-01-01,
Guadalajara,Estadio Akron,Primary,2010-07-30,
Juárez,Estadio Olímpico Benito Juárez,Primary,2015-06-01,
León,Estadio León,Primary,1967-03-01,
Mazatlán,Estadio El Encanto,Primary,2020-07-27,
Monterrey,Estadio BBVA,Primary,2015-08-02,
Necaxa,Estadio Victoria,Primary,2003-07-29,
Pachuca,Estadio Hidalgo,Primary,1993-02-14,
Puebla,Estadio Cuauhtémoc,Primary,1968-10-06,
Querétaro,Estadio Corregidora,Primary,1985-02-05,
Santos Laguna,Estadio Corona,Primary,2009-11-11,
Tijuana,Estadio Caliente,Primary,2007-11-11,
Toluca,Estadio Nemesio Díez,Primary,1954-08-08,
UANL,Estadio Universitario,Primary,1967-05-30,
UNAM,Estadio Olímpico Universitario,Primary,1952-11-20,
América Femenil,Estadio Ciudad de los Deportes,Temporary,2025-01-01,
Atlas Femenil,Estadio Jalisco,Primary,2016-12-05,
Atlético San Luis Femenil,Estadio Libertad Financiera,Primary,2019-05-27,
Cruz Azul Femenil,Estadio Olímpico Universitario,Temporary,2024-07-01,2025-12-31
Cruz Azul Femenil,Estadio Centenario,Temporary,2026-01-01,
Guadalajara Femenil,Estadio Akron,Primary,2016-12-05,
Juárez Femenil,Estadio Olímpico Benito Juárez,Primary,2019-06-11,
León Femenil,Estadio León,Primary,2016-12-05,
Mazatlán Femenil,Estadio El Encanto,Primary,2020-06-02,
Monterrey Femenil,Estadio BBVA,Primary,2016-12-05,
Necaxa Femenil,Estadio Victoria,Primary,2016-12-05,
Pachuca Femenil,Estadio Hidalgo,Primary,2016-12-05,
Puebla Femenil,Estadio Cuauhtémoc,Primary,2018-05-16,
Querétaro Femenil,Estadio Corregidora,Primary,2016-12-05,
Santos Laguna Femenil,Estadio Corona,Primary,2016-12-05,
Tijuana Femenil,Estadio Caliente,Primary,2016-12-05,
Toluca Femenil,Estadio Nemesio Díez,Primary,2016-12-05,
UANL Femenil,Estadio Universitario,Primary,2016-12-05,
UNAM Femenil,Estadio Olímpico Universitario,Primary,2016-12-05,
